	0
loss	"[0.07021597 0.05326982 0.04890172 0.04569848 0.04397508 0.04279446
 0.04193955 0.04153379 0.04049237 0.04041777 0.04013098 0.03967168
 0.03917564 0.03919885 0.03858309 0.03832758 0.03884503 0.03806953
 0.03792656 0.03804543 0.03751658 0.03703729 0.03722771 0.03719542
 0.03663172 0.03617348 0.03650686 0.03613316 0.03580898 0.03590989
 0.03594511 0.03550354 0.0360454  0.03584746 0.03563874 0.03573119
 0.03484874 0.03539027 0.03481297 0.0348815  0.03531936 0.0352033
 0.03500086 0.03543103 0.03456396 0.03467447 0.03479174 0.03444519
 0.03500816 0.03474902]"
binary_crossentropy	"[0.06360628 0.04167811 0.03642961 0.03297603 0.03101241 0.02963203
 0.02838158 0.02781049 0.02662303 0.02632673 0.02591986 0.02536567
 0.02471692 0.02452127 0.02377034 0.02342224 0.02377966 0.02302046
 0.02272347 0.02277327 0.02225726 0.02192165 0.02208715 0.02204077
 0.02142736 0.02105021 0.02133979 0.02094786 0.02056484 0.02070123
 0.02066778 0.02036902 0.02078899 0.02055844 0.02042149 0.02041001
 0.01960605 0.02010444 0.01953745 0.01963733 0.01996926 0.019913
 0.01974272 0.02014808 0.01925992 0.01937733 0.01952657 0.01909212
 0.01957514 0.01933806]"
auc	"[0.94614726 0.97584045 0.9796708  0.9822814  0.98391616 0.9849644
 0.985172   0.9867714  0.98676604 0.98694915 0.98773515 0.98871326
 0.9885293  0.98816836 0.98915154 0.98853564 0.98952746 0.98918915
 0.98956954 0.9902009  0.99078184 0.9900358  0.99021626 0.9903129
 0.9908863  0.9910812  0.99047464 0.9907303  0.9907765  0.991791
 0.9911993  0.9923009  0.99175596 0.990724   0.9912203  0.9913039
 0.99176484 0.9908468  0.9919394  0.9914681  0.99104327 0.9915708
 0.9910333  0.99117947 0.9917397  0.9923985  0.9911688  0.9925783
 0.9922786  0.9915561 ]"
auc_1	"[0.61411625 0.7972671  0.83777976 0.8627261  0.87181914 0.88255453
 0.89032423 0.89613044 0.9006798  0.9043019  0.90482223 0.90939736
 0.9123007  0.91360986 0.91863596 0.9207328  0.91788954 0.9227286
 0.92415166 0.92406416 0.9268318  0.9285498  0.9273584  0.92795724
